professor_name,department,profile_url,source_urls,personal_site_urls,labs,research_topics,research_description_detailed,recruitment_mentions,evidence_count
Tal August,cs,https://cs.illinois.edu/about/people/all-faculty/taugust,https://cs.illinois.edu/about/people/all-faculty/taugust,,Human-Computer Interaction Lab|Natural Language Processing Lab,human-computer interaction|natural language processing|language personalization|communication technologies|automatic language adaptation,"Tal August's research focuses on enhancing human-computer interaction through natural language processing by studying how language can be personalized for diverse users. His work involves creating tools that automate the adaptation of language, aiming to bridge communication gaps between individuals and technology. He is engaged in developing methods that facilitate better understanding and interactions with language models and other computational technologies. His course instruction reflects these interests, teaching topics related to human-LLM interaction.",,1
Brian Bailey,cs,https://cs.illinois.edu/about/people/all-faculty/bpbailey,https://cs.illinois.edu/about/people/all-faculty/bpbailey,,Interactive Computing,User Interface Design|Human-Computer Interaction|Mobile Interaction Design|Computer Supported Cooperative Work|Augmented Reality,"Brian Bailey's research revolves around designing and evaluating interactive systems, with a strong focus on user interface design and human-computer interaction. He applies novel methodologies to understand user interactions, specifically in the context of mobile devices and augmented reality applications. His work frequently engages with cooperative and collaborative computing environments where the interplay of design and user behavior is studied to enhance technological solutions. Overall, he emphasizes how user experience can be crafted through intuitive design in complex interactive computing systems.",I almost always have undergraduate research opportunities available in my research group. Please contact me for further information.,2
Arindam Banerjee,cs,https://cs.illinois.edu/about/people/all-faculty/arindamb,https://cs.illinois.edu/about/people/all-faculty/arindamb,,Banerjee Lab,Artificial Intelligence|Data Mining|Deep Generative Models|Dynamic Models|Geospatial AI|Sequential Decision Making,"Arindam Banerjee focuses on advancing artificial intelligence through the development and application of data mining techniques and deep generative models. His research entails building algorithms that can analyze and interpret complex datasets, particularly in the context of dynamic systems and geospatial data. He also engages in pedagogical activities, teaching courses that cover the practical aspects of machine learning and its applications. Additionally, his work explores sequential decision-making processes, integrating AI applications into real-world scenarios.",,5
Masooda N Bashir,cs,https://cs.illinois.edu/about/people/all-faculty/mnb,https://cs.illinois.edu/about/people/all-faculty/mnb,,School of Information Sciences,Computers and Education|Privacy and Information Technology|Human Centered AI|Information Assurance,"Masooda N Bashir's daily work focuses on exploring the intersection of technology, privacy, and education. She teaches a variety of courses that include aspects of cybersecurity, privacy in the internet age, and human-centered artificial intelligence. Her research investigates how educational technologies impact user privacy and how information assurance practices can be integrated into educational frameworks. Additionally, she is involved in developing programs such as the Illinois Cyber Security Scholarship Program, highlighting her engagement with practical applications in the field.",,3
Adam Bates,cs,https://cs.illinois.edu/about/people/all-faculty/batesa,https://cs.illinois.edu/about/people/all-faculty/batesa,https://adambates.org/about/,Secure & Transparent Systems Laboratory,"Intrusion Detection Systems|Digital Privacy in Everyday User Technologies|Threat Detection, Investigation, & Response","Adam Bates focuses on enhancing security and privacy through the design of intrusion detection systems and provenance-aware systems. His work involves developing methodologies for secure auditing and threat detection, particularly in web services and cloud infrastructures. This includes creating tools that analyze network provenance, which helps understand and trace system intrusions effectively, as well as investigating privacy issues in everyday user technologies, like fitness tracking apps. Through his research, he aims to establish efficient auditing techniques that minimize threat alert fatigue and improve the overall security posture of computer systems.",,3
Mattox Beckman,cs,https://cs.illinois.edu/about/people/all-faculty/mattox,https://cs.illinois.edu/about/people/all-faculty/mattox,,,Self-Efficacy|Programming Languages|Computer Science Education|Computers and Education|Formal Methods|Software Engineering,"Mattox Beckman engages in the development and analysis of programming languages, with a focus on their educational applications. He employs formal methods to improve software engineering practices and teaches a range of computing courses including data structures and programming languages. His role as a coach for the ICPC team involves mentoring students in advanced algorithmic strategies and fostering skills in competitive programming, which directly impacts student performance in national and international competitions.",,3
Suma Bhat,cs,https://cs.illinois.edu/about/people/all-faculty/spbhat2,https://cs.illinois.edu/about/people/all-faculty/spbhat2|https://publish.illinois.edu/sumapbhat/|https://publish.illinois.edu/sumapbhat/research-group|https://publish.illinois.edu/sumapbhat/cv|https://publish.illinois.edu/sumapbhat/publications|https://publish.illinois.edu/sumapbhat/teaching,https://publish.illinois.edu/sumapbhat/,ILEARN group|Coordinated Science Laboratory,Natural Language Processing|Human-AI Interaction|Computational Social Science|Learning Analytics|Medical Language Processing,"Suma Bhat's research integrates natural language processing with human-AI interaction and computational social science. She focuses on developing computational methods for understanding complex linguistic phenomena, including figurative language such as idioms. Part of her work involves enhancing educational tools using NLP and machine learning in contexts like online STEM learning and medical education. Her inquiries also include exploring how to facilitate machines' understanding of human language nuances in various application environments.",,3
Catherine Lesley Blake,cs,https://cs.illinois.edu/about/people/all-faculty/clblake,https://cs.illinois.edu/about/people/all-faculty/clblake,,Health Innovation Faculty,Data and Information Systems|AI in Health|Text Mining,"Professor Blake focuses on integrating artificial intelligence within healthcare, particularly through her course on AI in Health. She applies methods of text mining and natural language processing to extract useful information from health-related texts. Her research may also involve collaboration across disciplines, reflecting an interest in enhancing medical technologies, such as neurosurgical navigation systems, which suggests a practical approach to applying data science in real-world health problems.",,3
Nikita Borisov,cs,https://cs.illinois.edu/about/people/all-faculty/nikita,https://cs.illinois.edu/about/people/all-faculty/nikita,,,anonymity in peer-to-peer networks|privacy-preserving data aggregation|information leakage|trustworthy and verifiable systems|cryptographic protocols|zero-knowledge systems,"Nikita Borisov's work primarily centers on the development and analysis of anonymity systems, particularly focusing on peer-to-peer networks. He employs a systems approach, utilizing rigorous and quantitative metrics to evaluate anonymity, frequently supported by simulations. Additionally, he conducts research into privacy-enhancing technologies, emphasizing privacy-preserving data aggregation methods. His interest also extends into creating reliable, secure peer-to-peer networks and addressing information leakage and traffic analysis issues within those systems.",,3
Timothy Bretl,cs,https://cs.illinois.edu/about/people/all-faculty/tbretl,https://cs.illinois.edu/about/people/all-faculty/tbretl|https://bretl.csl.illinois.edu/|https://bretl.csl.illinois.edu/location|https://bretl.csl.illinois.edu/officehours|http://bretl.csl.illinois.edu/papers|http://bretl.csl.illinois.edu/,https://bretl.csl.illinois.edu/,Bretl Robotics Lab,rehabilitation robotics|upper- and lower-limb prosthetic devices|brain-machine interfaces|optimal control|robotic manipulation|motion planning|theoretical and algorithmic foundations of robotics and automation,"Professor Timothy Bretl’s research involves the development of advanced algorithms and systems for robotics with a strong focus on rehabilitation and assistive technologies. He works on upper- and lower-limb prosthetic devices, integrating optimal control techniques to improve user interaction and functionality. His team studies brain-machine interfaces to enhance control mechanisms for robotic systems, addressing issues in coordination and efficiency. Additionally, he delves into theoretical aspects of robotics, including motion planning and robotic manipulation, aiming to create adaptive robots capable of operating in complex environments.",,2
Robert Brunner,cs,https://cs.illinois.edu/about/people/all-faculty/bigdog,https://cs.illinois.edu/about/people/all-faculty/bigdog,,,Graph Neural Networks (GNNs)|Financial Market Prediction|High-Frequency Trading Analysis|Community Detection in Economic Data|AI Annotation Methods in Financial Text Corpora|Equity Market Forecasting,"Professor Robert Brunner conducts research at the intersection of statistical and machine learning techniques applied to business and finance. His work primarily focuses on the use of graph neural networks (GNNs) for forecasting equity markets and analyzing high-frequency trading scenarios. He explores community detection within economic data to extract meaningful insights and is developing integrated methods for industry recovery tailored to real-time financial data. Additionally, he investigates AI annotation methods to ensure the data's reliability for advanced financial analytics platforms.",,3
Marco Caccamo,cs,https://cs.illinois.edu/about/people/all-faculty/mcaccamo,https://cs.illinois.edu/about/people/all-faculty/mcaccamo|https://rtsl.cps.mw.tum.de/personal_page/mcaccamo/|https://rtsl.cps.mw.tum.de/personal_page/mcaccamo/publications.php|https://rtsl.cps.mw.tum.de/personal_page/mcaccamo/index.php|https://rtsl.cps.mw.tum.de/|https://rtsl.cps.mw.tum.de/members,https://rtsl.cps.mw.tum.de/personal_page/mcaccamo/,Real-Time and Embedded Systems Laboratory,Real-time embedded systems|Artificial intelligence in embedded systems|Reinforcement learning architectures|Predictable resource allocation|Cyber-physical systems (CPS)|6D pose recognition,"Marco Caccamo's research primarily revolves around the development of real-time embedded systems, where he applies artificial intelligence and reinforcement learning techniques to optimize resource allocation. His work includes integrating these AI algorithms into heterogeneous multicore platforms to address issues in cyber-physical systems (CPS). Daily tasks involve designing novel resource management policies, creating and testing reinforcement learning architectures, and developing synthetic paradigms for robotic systems, particularly in the realm of pose recognition and navigation.",,4
Matthew Caesar,cs,https://cs.illinois.edu/about/people/all-faculty/caesar,https://cs.illinois.edu/about/people/all-faculty/caesar|https://caesar.web.engr.illinois.edu/,https://caesar.web.engr.illinois.edu/,Systems and Networking Lab,distributed systems|self-organization in networks|self-diagnosis of networks|Internet infrastructure performance|routing and DNS|data centers,"Professor Caesar conducts research aimed at improving the management and reliability of distributed systems and networks by leveraging self-organization and self-diagnosis principles. His work involves the design, analysis, and implementation of large-scale distributed systems, with a particular focus on enhancing the performance and availability of Internet infrastructure components like routing and DNS services, as well as data center efficiency. He employs techniques from software engineering and AI to develop efficient data structures and algorithms, facilitating the formal verification of system behaviors and safety properties, to create robust networking solutions.",,4
Roy H. Campbell,cs,https://cs.illinois.edu/about/people/all-faculty/rhc,https://cs.illinois.edu/about/people/all-faculty/rhc,,,Multi-modal modeling and analysis in Longitudinal Studies of Neurological Disorders|Health Data Analytics|Machine Learning|Neural networks|Federated Learning|Software development environments|Distributed systems|Operating systems,"Roy H. Campbell's work involves advanced health data analytics, leveraging multi-modal modeling to analyze longitudinal studies related to neurological disorders, aging, and genetics. He employs machine learning techniques, particularly neural networks and federated learning, to extract insights from health data and develop applications for mobile devices. His research also encompasses challenges in distributed systems and operating systems, addressing issues like cloud computing, software reliability, and security protocols. Campbell's ongoing investigations into Covid and its variants further illustrate his commitment to applying computational techniques to pressing health-related queries.",,2
Franck Cappello,cs,https://cs.illinois.edu/about/people/all-faculty/cappello,https://cs.illinois.edu/about/people/all-faculty/cappello|https://franckcappello.github.io/,https://franckcappello.github.io/,Mathematics and Computer Science Division at Argonne National Laboratory|JLESC Joint-Laboratory on Extreme Scale Computing,High-Performance Computing|Scientific Data Compression|Fault-Tolerance in Computing Systems|Evaluation Methodology for AI Systems|Large Language Models as Research Assistants,"Franck Cappello specializes in high-performance computing, particularly in the realms of scientific data compression and fault tolerance. His day-to-day research involves developing innovative frameworks to reduce data overhead in high-performance computing applications, including the Scalable Checkpoint/Restart (SCR) framework for efficient data management. He leads recursive evaluations of AI systems such as Large Language Models, ensuring they effectively serve as research assistants. His work involves both theoretical frameworks and practical implementations, such as transforming distributed computing systems into reconfigurable platforms, enhancing their performance and reliability.",,3
George Chacko,cs,https://cs.illinois.edu/about/people/all-faculty/chackoge,https://cs.illinois.edu/about/people/all-faculty/chackoge,,"Center for Scientific Review, National Institutes of Health|Grainger College of Engineering",community finding techniques|scientometrics|knowledge diffusion|social interactions in scientific achievement|scalable methods in citation analysis,"George Chacko's research revolves around developing methods for community detection and clustering in scientific literature, aiming to understand the structure of research communities. His work often involves creating scalable algorithms for analyzing citation graphs and simulating network growth, with applications in science mapping and research evaluation. He trains students to critically interpret scientific literature and develop their communication skills as part of the research process. He is currently focused on the implementation of agent-based models to analyze citation behaviors in large datasets.",CS 597 courses for current PhD or MS students at UIUC who are looking for potential thesis topics.,3
Geoffrey Challen,cs,https://cs.illinois.edu/about/people/all-faculty/challen,https://cs.illinois.edu/about/people/all-faculty/challen|https://www.geoffreychallen.com/CV|https://www.geoffreychallen.com/projects|https://www.geoffreychallen.com/about|https://www.geoffreychallen.com/|https://www.geoffreychallen.com/essays,https://www.geoffreychallen.com/CV,Mobile Systems Research Group|Wireless Sensor Networks Lab,Wireless Sensor Networks|Mobile Systems|Smartphone Sustainability|Resource Management|Data Fidelity|Uncertainty in Computing,"Geoffrey Challen's research focuses on the design and evaluation of novel computer systems with a strong emphasis on mobile systems and wireless sensor networks. His work includes building and assessing systems for monitoring environmental phenomena such as volcanic eruptions through sophisticated sensor deployments. He also explores resource management in mobile environments, specifically targeting power consumption optimizations in smartphones. Techniques include developing operating system enhancements and algorithms for ensuring data fidelity in sensor networks, enabling efficient data collection in complex deployments.",,4
Timothy Moon-Yew Chan,cs,https://cs.illinois.edu/about/people/all-faculty/tmc,https://cs.illinois.edu/about/people/all-faculty/tmc,,,Theory and Algorithms|Computational Geometry|Randomized Algorithms|Fine-Grained Algorithms|Advanced Data Structures,"Timothy Moon-Yew Chan specializes in theoretical computer science, focusing on the design and analysis of algorithms. His work includes computational geometry, where he tackles problems related to geometric data processing and optimization. He also investigates randomized algorithms, utilizing probabilistic techniques to provide efficient solutions to complex computational problems. Additionally, Chan works on fine-grained algorithms, which involve establishing the optimal bounds for algorithmic performance. His courses cover a range of topics from introductory algorithms to advanced data structures, equipping students with both foundational and cutting-edge knowledge in the field.",,5
Karthekeyan Chandrasekaran,cs,https://cs.illinois.edu/about/people/all-faculty/karthe,https://cs.illinois.edu/about/people/all-faculty/karthe|http://karthik.ise.illinois.edu/|http://karthik.ise.illinois.edu/grad-level-courses.html|http://karthik.ise.illinois.edu/courses/ie511/ie511-sp-15.html|http://karthik.ise.illinois.edu/courses/ie511/ie511-sp-17.html|http://karthik.ise.illinois.edu/courses/ie511/ie511-sp-19.html,http://karthik.ise.illinois.edu/,Algorithms Group|Combinatorial Optimization Lab,Combinatorial Optimization|Approximation Algorithms|Graph Theory|Mathematical Programming|Probabilistic Methods,"Karthekeyan Chandrasekaran focuses on combinatorial optimization and related algorithms, particularly in the context of network design and graph theory. His work includes developing algorithms that handle hypergraph network design, which involves constructing hypergraphs that meet certain connectivity requirements while adhering to polynomial constraints. Additionally, he explores dense subgraph discovery within graph mining, providing approaches for various subgraph problems including maximally dense subgraphs and cores. His research combines mathematical programming techniques with probabilistic methods to address challenges in optimization and algorithmic efficiency.",Strongly encourage motivated and hardworking students interested in combinatorial optimization/approximation algorithms/graph theory to apply to UIUC.,4
Varun Chandrasekaran,cs,https://cs.illinois.edu/about/people/all-faculty/varunc,https://cs.illinois.edu/about/people/all-faculty/varunc|https://chandrasekaran-group.github.io/|https://chandrasekaran-group.github.io/people|https://chandrasekaran-group.github.io/publications|https://chandrasekaran-group.github.io/courses|https://chandrasekaran-group.github.io/courses/cs562/home,https://chandrasekaran-group.github.io/,Chandrasekaran Research Group,Security and Privacy in Machine Learning|Adversarial Interactions with Learning Systems|Bias in Language Models|Machine Learning for Software Security|Generative AI Security,"Varun Chandrasekaran's work intersects security and privacy with systems, networking, distributed computing, and machine learning. He studies how private information can be inferred from interactions with machine learning models, including the security implications of large language models (LLMs). His research involves developing methods to localize and mitigate biases in machine learning models as well as exploring adversarial interactions and threats to these systems. Additionally, he teaches advanced courses that survey security challenges in machine learning including attack vectors and governance issues in AI.",,3
Eshwar Chandrasekharan,cs,https://cs.illinois.edu/about/people/all-faculty/eshwar,https://cs.illinois.edu/about/people/all-faculty/eshwar|http://www.eshwarchandrasekharan.com/|http://www.eshwarchandrasekharan.com/bio|http://www.eshwarchandrasekharan.com/publications|http://www.eshwarchandrasekharan.com/lab,http://www.eshwarchandrasekharan.com/,Interactive Computing,Social Computing|Computational Social Science|HCI|NLP|Human-Centered AI,"Eshwar Chandrasekharan's work focuses on understanding and improving how digital environments influence human behavior online. He employs techniques from Social Computing, Computational Social Science, and Human-Computer Interaction to innovate systems that enhance community well-being and safety on the Internet. His methodologies include developing tools that facilitate positive online experiences and mitigate antisocial behavior, leveraging insights from Natural Language Processing and Human-Centered AI.",,2
Kevin Chen-Chuan Chang,cs,https://cs.illinois.edu/about/people/all-faculty/kcchang,https://cs.illinois.edu/about/people/all-faculty/kcchang,,FORWARD Data Lab|Data and Information Systems Laboratories,natural language processing|data mining|data management|information retrieval|machine learning|structured and unstructured data,"Professor Chang leads the FORWARD Data Lab, focusing on integrating structured and unstructured data to improve accessibility and usability for applications. His work involves natural language processing techniques to extract information from vast datasets, applying data mining methods to discover patterns, and leveraging machine learning for intelligent data management and retrieval. The lab's projects often explore the effective organization of web and social media data, creating tools for knowledge acquisition that inform real-world applications.",,3
Sanjeev Chekuri,cs,https://cs.illinois.edu/about/people/all-faculty/chekuri,https://cs.illinois.edu/about/people/all-faculty/chekuri|http://chekuri.cs.illinois.edu/|http://chekuri.cs.illinois.edu/pub.html|http://chekuri.cs.illinois.edu/teaching/fall2006/approx.htm|http://chekuri.cs.illinois.edu/teaching/spring2008/agt.htm|http://chekuri.cs.illinois.edu/talks.html,http://chekuri.cs.illinois.edu/,Algorithms Research Group,theoretical computer science|design and analysis of algorithms|discrete and combinatorial optimization|approximation algorithms|mathematical programming|graphs and networks|submodularity|algorithmic applications,"Sanjeev Chekuri conducts research primarily in theoretical computer science with an emphasis on the design and analysis of algorithms. His work tackles discrete and combinatorial optimization problems, particularly focusing on approximation algorithms for network design and routing challenges under uncertain conditions. He studies mathematical programming techniques and their applications to real-world problems in graphs and networks, including submodularity. Daily activities involve developing new algorithmic strategies, publishing research findings, and mentoring graduate students engaged in similar research themes.",,3
Deming Chen,cs,https://cs.illinois.edu/about/people/all-faculty/dchen,https://cs.illinois.edu/about/people/all-faculty/dchen,,Chen Lab,"hardware security|GPU optimization and GPU computing|IoT and data analytics|hardware/software co-design for SoC|system-level and high-level synthesis|cloud computing|AI, machine learning and hardware acceleration|reconfigurable computing and FPGAs|computational genomics","Prof. Deming Chen's research primarily revolves around system-level and high-level design automation, focusing on the optimization of hardware security, GPU optimization, and computational efficiency in cloud environments. His group employs machine learning techniques and cognitive computing principles to create innovative architectures and hardware designs. They specifically investigate reconfigurable computing through the use of FPGAs and GPUs, while also addressing challenges in hardware/software co-design within system-on-chip (SoC) configurations. Moreover, the lab's research extends into the intersection of IoT with data analytics, as well as computational genomics.","We are recruiting.|We are looking for committed and mature undergrad researchers for the following topics: FPGA and GPU computing, machine learning and hardware acceleration, high-level and system-level synthesis, and security in IoT and smart grid.",3
Eric Chitambar,cs,https://cs.illinois.edu/about/people/all-faculty/echitamb,https://cs.illinois.edu/about/people/all-faculty/echitamb,,Quantum Information Processing Lab,Quantum information theory|Photonic graph states|Entanglement manipulation|Quantum communication|Quantum instruments,"Eric Chitambar's research focuses on quantum information theory, particularly on the foundational aspects and practical applications of entanglement and quantum states. He investigates how different types of quantum resources can be manipulated and distilled for information processing, using methods such as incompatibility as a resource for quantum instruments. His laboratory works on building structures like photonic graph states to enhance communication protocols in quantum networks, and he analyzes the performance of quantum channels in terms of their nonlocal properties.",,3
Girish Chowdhary,cs,https://cs.illinois.edu/about/people/all-faculty/girishc,https://cs.illinois.edu/about/people/all-faculty/girishc,,Field Robotics Lab|Unmanned Aerial Systems Lab,Adaptive Control|Reinforcement Learning|Autonomous Systems|Machine Vision|Fault Tolerant Control|Distributed Learning|Unmanned Aerial Systems (UAS),"Girish Chowdhary's work focuses on developing algorithms for adaptive autonomy particularly in the realm of field robotics and unmanned aerial systems. His research includes the creation and testing of control systems that incorporate machine learning techniques for improving the functionality of autonomous machines in agriculture and other distributed operations. He leads projects addressing fault-tolerant control and mission planning with a strong emphasis on integrating vision guidance for unmanned vehicles, and has been heavily involved in flight testing these systems. Moreover, he applies Bayesian methods for system identification and develops strategies for real-time adaptation in uncertain environments.",,4
