lab_name,canonical_url,source_faculty_count,professors,departments,llm_evidence_count
Center for Innovation in Teaching and Learning,,1,Wade Fagen-Ulmschneider,cs,4
Center for People and Infrastructures,,1,Karrie Karahalios,cs,4
Center for Simulation of Advanced Rockets,,1,Michael T Heath,cs,3
Chekuri Research Group,,1,Chandra Chekuri,cs,4
Chen Lab,,1,Deming Chen,cs,2
Cloud Computing Applications Lab,,1,Reza Farivar,cs,3
Cloud Computing Laboratory,,1,Brighten Godfrey,cs,4
Computational Genomics Lab,,1,Steven Lumetta,cs,4
Computational Geometry Lab,,1,Jeff Erickson,cs,3
Computational Intelligence for Engineering Lab (CIEL),,1,Hadi Meidani,cs,3
Computational Law,,1,Sarah Lawsky,cs,1
Computational Science and Engineering Program,,1,Michael T Heath,cs,3
Computer Architecture Group,,1,Saksham Agarwal,cs,2
Computer Architecture Lab,,1,Rakesh Kumar,cs,3
Computer Science Education Lab,,1,Colleen M. Lewis,cs,2
Computer Vision and Machine Learning Group,,1,Yaoyao Liu,cs,2
Computing Systems Research Group,,1,Nam Sung Kim,cs,4
Control and Machine Learning Lab,,1,Bin Hu,cs,3
Conversational AI Lab,,1,Dilek Hakkani-Tur,cs,4
Cryptography and Security Lab,,1,Andrew Miller,cs,3
CS 598: Computational Scientometrics,,1,George Chacko,cs,3
Cyber-Physical System Security Lab,,1,Kirill Levchenko,cs,3
Cybersecurity Lab,,1,Carl Gunter,cs,3
Cybersecurity Research Lab,,1,Xiaojing Liao,cs,1
DASLAB,,1,Girish Chowdhary,cs,4
Data and Information Systems Lab,,1,Bertram Ludaescher,cs,2
Data Mining Lab,,1,Jiawei Han,cs,2
Data Science Research Collaborative,,1,Wade Fagen-Ulmschneider,cs,4
Data-centric computing lab,,1,Saugata Ghose,cs,2
Department of Electrical & Computer Engineering,,1,Ivan Thomas Abraham,ece,3
Department of Natural Resources and Environmental Sciences,,1,Kaiyu Guan,cs,3
DEPEND Group,,1,Ravishankar K Iyer,cs,2
Discovery Partners Institute,,1,Ivan Thomas Abraham,ece,3
Distributed Protocols Research Group,http://dprg.cs.uiuc.edu/,1,Indranil Gupta,cs,3
Distributed Systems,,1,Nikita Borisov,cs,3
Distributed Systems Group,,1,Ram Alagappan,cs,3
Formal Methods and Cryptography,,1,Ning Luo,cs,2
Formal Methods Lab,,1,Jose Meseguer,cs,3
FORWARD Data Lab,,1,Kevin Chenchuan Chang,cs,4
Human-AI Interaction Lab,,1,Suma Bhat,cs,2
Illinois/Mayo NSF Center for Computational Biotechnology and Genomic Medicine,,1,Ravishankar K Iyer,cs,2
IMMERSE: Center for Immersive Computing,,1,Sarita V Adve,cs,4
Industrial and Enterprise Systems Engineering,,1,Karthekeyan Chandrasekaran,cs,3
Information Sciences,,1,Yue Guo,cs,2
Institute for Genomic Biology,,1,Minh N Do,cs,2
Institute of Genomic Biology,,1,Mohammed El-Kebir,cs,5
Intelligent Motion Lab,,1,Kris Hauser,cs,3
Interactive Computing,,1,Eshwar Chandrasekharan,cs,3
Interactive Computing Lab,,1,Camille Cobb,cs,3
LLVM Compiler Infrastructure,,1,Vikram Adve,cs,6
Machine Learning Lab,,1,Minje Kim,cs,2
Machine Learning Systems Lab,,1,Fan Lai,cs,4
Microsoft Research,,1,Aishwarya Ganesan,cs,4
Motion Strategy Library,,1,Steven M. LaValle,cs,3
NASA Acres Consortium,,1,Kaiyu Guan,cs,3
Natural Language Processing (NLP) research group,,1,Heng Ji,cs,3
Networked Systems Lab,,1,Fan Lai,cs,4
Networked Systems Laboratory,,1,Brighten Godfrey,cs,4
Networking Research Group,,1,Saksham Agarwal,cs,2
Parasol Lab,,1,Nancy M. Amato,cs,6
Perception and LANguage (PLAN) Group,,1,Ismini Lourentzou,cs,2
PlatformX (Systems Platform and Intelligence Lab),,1,Jian Huang,cs,3
Programming Languages and Formal Methods,,1,Darko Marinov,cs,2
Programming Languages Lab,,1,Jose Meseguer,cs,3
Quantum Information and Communication Lab,,1,Eric Chitambar,cs,3
Real-time and Automated Monitoring and Control (RAAMAC) lab,,1,Mani Golparvar-Fard,cs,3
Reinforcement Learning Lab,,1,Nan Jiang,cs,3
Robotics,,1,Timothy Bretl,cs,2
Robotics and Human-Centered AI Lab,,1,Katie Driggs-Campbell,cs,4
Robotics Lab,,1,Saurabh Gupta,cs,3
Scientific Computing Lab,,1,Andreas Paul Eberhard Kloeckner,cs,1
Secure & Transparent Systems Laboratory,,1,Adam Bates,cs,4
Siebel School of Computing and Data Science,https://cs.illinois.edu/,1,Daniel Dig,cs,2
Simulation and Optimization Laboratory,,1,Sheldon H. Jacobson,cs,4
Software Engineering Lab,,1,Reyhaneh Jabbarvand,cs,2
Software Engineering Research Group,,1,Darko Marinov,cs,2
Statistical Speech Technology Group,,1,Mark Hasegawa-Johnson,cs,4
Storage Systems Lab,,1,Ram Alagappan,cs,3
System-Level Design Automation Group,,1,Rakesh Kumar,cs,3
The Mobius Group,,1,Robin Kravets,cs,2
Theory and Algorithms Lab,,1,Daniel Alabi,cs,4
Thomas M. Siebel Center for Computer Science,,1,Laxmikant V Kale,cs,4
Trustworthy Machine Learning Lab,,1,Bo Li,cs,4
Universal Design for Learning (UDL) and Accessibility Research Group,,1,Lawrence Angrave,cs,5
Universal Design for Learning (UDL) and Accessibility Research Lab,,1,Hongye Liu,cs,3
Visual Computing Lab,,1,Derek Hoiem,cs,2
VMware Research Group,,1,Aishwarya Ganesan,cs,4
