faculty_url,faculty_name,lab_name,lab_url,evidence_snippet
https://cs.illinois.edu/about/people/all-faculty/ramn,Ram Alagappan,Storage Systems Lab,,"Research Interests: Storage systems, Distributed systems, Operating systems"
https://cs.illinois.edu/about/people/all-faculty/ramn,Ram Alagappan,Distributed Systems Lab,,"Research Interests: Storage systems, Distributed systems, Operating systems"
https://cs.illinois.edu/about/people/all-faculty/alawini,Abdussalam Alawini,Computer and Information Science,https://cs.illinois.edu,"Abdussalam Alawini's research interests are broadly in databases, applied machine learning, and education."
https://cs.illinois.edu/about/people/all-faculty/alawini,Abdussalam Alawini,Database Systems,https://www.cis.upenn.edu,"Abdussalam Alawini's research interests are broadly in databases, applied machine learning, and education."
https://cs.illinois.edu/about/people/all-faculty/namato,Nancy M. Amato,Parasol Lab,,"Amato is known for algorithmic contributions to robotics task and motion planning, computational biology and geometry, and parallel and distributed computing."
https://cs.illinois.edu/about/people/all-faculty/angrave,Lawrence Angrave,Universal Design for Learning (UDL) and Accessibility Research Group,,Research Interests Accessible Education Effective computer science instruction at scale
https://cs.illinois.edu/about/people/all-faculty/taugust,Tal August,Human-Computer Interaction (HCI) Lab,,Tal August's research is at the intersection of human computer interaction and natural language processing. He studies ways to personalize language to different people and builds tools to make this language adaptation automatic. The long term goal of his research is to improve our communication with one another and with technology.
https://cs.illinois.edu/about/people/all-faculty/taugust,Tal August,Natural Language Processing Lab,,Tal August's research is at the intersection of human computer interaction and natural language processing. He studies ways to personalize language to different people and builds tools to make this language adaptation automatic. The long term goal of his research is to improve our communication with one another and with technology.
https://cs.illinois.edu/about/people/all-faculty/arindamb,Arindam Banerjee,Deep Learning and Geospatial Data Lab,,Founder Professor in Engineering
https://cs.illinois.edu/about/people/all-faculty/arindamb,Arindam Banerjee,Artificial Intelligence and Data Systems Lab,,Founder Professor in Engineering
https://cs.illinois.edu/about/people/all-faculty/mnb,Masooda N Bashir,Cyber Security Lab,,"Masooda N Bashir, Associate Professor, School of Information Sciences"
https://cs.illinois.edu/about/people/all-faculty/mnb,Masooda N Bashir,Human Centered AI Lab,,"Masooda N Bashir, Associate Professor, School of Information Sciences"
https://cs.illinois.edu/about/people/all-faculty/batesa,Adam Bates,Secure & Transparent Systems Laboratory,https://adambates.org,Secure & Transparent Systems Laboratory
https://cs.illinois.edu/about/people/all-faculty/mattox,Mattox Beckman,Computer Science Education Lab,,"Research Interests: Self-Efficacy, Programming Languages, Computer Science Education"
https://cs.illinois.edu/about/people/all-faculty/spbhat2,Suma Bhat,Natural Language Processing Lab,,"Research Interests: Natural Language Processing, Human-AI Interaction, Computational social science"
https://cs.illinois.edu/about/people/all-faculty/spbhat2,Suma Bhat,Human-AI Interaction Lab,,"Research Interests: Natural Language Processing, Human-AI Interaction, Computational social science"
https://cs.illinois.edu/about/people/all-faculty/spbhat2,Suma Bhat,Computational Social Science Lab,,"Research Interests: Natural Language Processing, Human-AI Interaction, Computational social science"
https://cs.illinois.edu/about/people/all-faculty/clblake,Catherine Lesley Blake,Information Sciences,,Research Areas: Data and Information Systems
https://cs.illinois.edu/about/people/all-faculty/nikita,Nikita Borisov,Borisov Lab (speculative),,"My research interests lie in the area of computer security and privacy, especially as applied to large-scale distributed systems."
https://cs.illinois.edu/about/people/all-faculty/tbretl,Timothy Bretl,Aerospace Engineering,,"Research Interests: engineering education, rehabilitation robotics (upper- and lower-limb prosthetic devices), brain-machine interfaces, optimal control, robotic manipulation, motion planning, theoretical and algorithmic foundations of robotics and automation."
https://cs.illinois.edu/about/people/all-faculty/tbretl,Timothy Bretl,Neuroscience Program,,"Research Interests: engineering education, rehabilitation robotics (upper- and lower-limb prosthetic devices), brain-machine interfaces, optimal control, robotic manipulation, motion planning, theoretical and algorithmic foundations of robotics and automation."
https://cs.illinois.edu/about/people/all-faculty/tbretl,Timothy Bretl,Coordinated Science Laboratory,,"Research Interests: engineering education, rehabilitation robotics (upper- and lower-limb prosthetic devices), brain-machine interfaces, optimal control, robotic manipulation, motion planning, theoretical and algorithmic foundations of robotics and automation."
https://cs.illinois.edu/about/people/all-faculty/tbretl,Timothy Bretl,Computer Science,,"Research Interests: engineering education, rehabilitation robotics (upper- and lower-limb prosthetic devices), brain-machine interfaces, optimal control, robotic manipulation, motion planning, theoretical and algorithmic foundations of robotics and automation."
https://cs.illinois.edu/about/people/all-faculty/tbretl,Timothy Bretl,Electrical and Computer Engineering,,"Research Interests: engineering education, rehabilitation robotics (upper- and lower-limb prosthetic devices), brain-machine interfaces, optimal control, robotic manipulation, motion planning, theoretical and algorithmic foundations of robotics and automation."
https://cs.illinois.edu/about/people/all-faculty/tbretl,Timothy Bretl,Beckman Institute for Advanced Science and Technology,,"Research Interests: engineering education, rehabilitation robotics (upper- and lower-limb prosthetic devices), brain-machine interfaces, optimal control, robotic manipulation, motion planning, theoretical and algorithmic foundations of robotics and automation."
https://cs.illinois.edu/about/people/all-faculty/bigdog,Robert Brunner,Data Science Lab,,"My recent research focuses on the intersection of statistical and machine learning techniques with real-world problems in business, finance, and society."
https://cs.illinois.edu/about/people/all-faculty/bigdog,Robert Brunner,Financial Analytics Lab,,"My recent research focuses on the intersection of statistical and machine learning techniques with real-world problems in business, finance, and society."
https://cs.illinois.edu/about/people/all-faculty/mcaccamo,Marco Caccamo,CSL - Coordinated Science Laboratory,http://cpsweek2011.cs.illinois.edu/,his research interests are centered on the area of embedded systems.
https://cs.illinois.edu/about/people/all-faculty/caesar,Matthew Caesar,Distributed Systems Lab,,"My research focuses on the design, analysis, and implementation of distributed systems and networks on the extremely large scale, with an emphasis on network operations, measurement, and availability."
https://cs.illinois.edu/about/people/all-faculty/caesar,Matthew Caesar,Internet of Things Lab,,"My research focuses on the design, analysis, and implementation of distributed systems and networks on the extremely large scale, with an emphasis on network operations, measurement, and availability."
https://cs.illinois.edu/about/people/all-faculty/rhc,Roy H Campbell,Health Data Analytics Lab,,"Research Interests: Machine Learning, Neural networks, Transformers, Federated Learning and their applications to health data analytics, mobile devices, and control systems."
https://cs.illinois.edu/about/people/all-faculty/rhc,Roy H Campbell,Machine Learning Lab,,"Research Interests: Machine Learning, Neural networks, Transformers, Federated Learning and their applications to health data analytics, mobile devices, and control systems."
https://cs.illinois.edu/about/people/all-faculty/rhc,Roy H Campbell,Distributed Systems Lab,,"Research Interests: Machine Learning, Neural networks, Transformers, Federated Learning and their applications to health data analytics, mobile devices, and control systems."
https://cs.illinois.edu/about/people/all-faculty/cappello,Franck Cappello,Scientific Computing Lab,,Adjunct Research Associate Professor
https://cs.illinois.edu/about/people/all-faculty/chackoge,George Chacko,Grainger College of Engineering,,My scientific interests are presently centered around community finding techniques that assist understanding the structure of research communities that form around scientific questions.
https://cs.illinois.edu/about/people/all-faculty/tmc,Timothy Moon-Yew Chan,Chan Lab,,Research Areas: Theory and Algorithms
https://cs.illinois.edu/about/people/all-faculty/karthe,Karthekeyan Chandrasekaran,Algorithms and Optimization Lab,,"Associate Professor, Industrial and Enterprise Systems Engineering, University of Illinois at Urbana-Champaign, IL, Aug, 2021--present"
https://cs.illinois.edu/about/people/all-faculty/varunc,Varun Chandrasekaran,Computer Security Lab,,"Assistant Professor, Electrical and Computer Engineering"
https://cs.illinois.edu/about/people/all-faculty/varunc,Varun Chandrasekaran,Security and Privacy Lab,,"Assistant Professor, Electrical and Computer Engineering"
https://cs.illinois.edu/about/people/all-faculty/eshwar,Eshwar Chandrasekharan,Social Computing Lab,,"My research intersects with Social Computing, Computational Social Science, HCI, NLP, and Human-Centered AI."
https://cs.illinois.edu/about/people/all-faculty/eshwar,Eshwar Chandrasekharan,Interactive Computing Lab,,"My research intersects with Social Computing, Computational Social Science, HCI, NLP, and Human-Centered AI."
https://cs.illinois.edu/about/people/all-faculty/kcchang,Kevin Chenchuan Chang,FORWARD Data Lab,,"I lead the FORWARD Data Lab group, which is part of the larger Data and Information Systems Laboratories, at the CS department of UIUC."
https://cs.illinois.edu/about/people/all-faculty/kcchang,Kevin Chenchuan Chang,Data and Information Systems Laboratories,,"I lead the FORWARD Data Lab group, which is part of the larger Data and Information Systems Laboratories, at the CS department of UIUC."
https://cs.illinois.edu/about/people/all-faculty/chekuri,Chandra Chekuri,Theory and Algorithms Lab,,"Chandra Chekuri and Chao Xu, Minimum Cuts and Sparsification in Hypergraphs, SIAM Journal on Computing, 47(6), 2118-2156, 2018."
https://cs.illinois.edu/about/people/all-faculty/dchen,Deming Chen,Chen Lab,https://github.com/UIUC-ChenLab,"His research interests include machine learning and AI, system-level design methodologies, hybrid cloud systems, reconfigurable and heterogeneous computing, and security and confidential computing."
https://cs.illinois.edu/about/people/all-faculty/dchen,Deming Chen,IBM-Illinois Discovery Accelerator Institute,https://iidai.illinois.edu/,"His research interests include machine learning and AI, system-level design methodologies, hybrid cloud systems, reconfigurable and heterogeneous computing, and security and confidential computing."
https://cs.illinois.edu/about/people/all-faculty/dchen,Deming Chen,AMD Center of Excellence,https://illinois.edu,"His research interests include machine learning and AI, system-level design methodologies, hybrid cloud systems, reconfigurable and heterogeneous computing, and security and confidential computing."
https://cs.illinois.edu/about/people/all-faculty/echitamb,Eric Chitambar,Chitambar Group,,"Associate Professor, Electrical and Computer Engineering"
https://cs.illinois.edu/about/people/all-faculty/echitamb,Eric Chitambar,Quantum Information and Communication Lab,,"Associate Professor, Electrical and Computer Engineering"
https://cs.illinois.edu/about/people/all-faculty/girishc,Girish Chowdhary,DASLAB,https://daslab.com,"Girish's ongoing research interest is in theoretical insights and practical algorithms for adaptive autonomy, with a particular application focus on field-robotics and Unmanned Aerial Systems (UAS)."
https://cs.illinois.edu/about/people/all-faculty/camillec,Camille Cobb,Interactive Computing Lab,,"Assistant Professor
Thomas M. Siebel Center for Computer Science
Research Areas
Interactive Computing
Security and Privacy"
https://cs.illinois.edu/about/people/all-faculty/camillec,Camille Cobb,Security and Privacy Lab,,"Assistant Professor
Thomas M. Siebel Center for Computer Science
Research Areas
Interactive Computing
Security and Privacy"
https://cs.illinois.edu/about/people/all-faculty/katcun,Katie Cunningham,Cunningham Lab,https://cs.illinois.edu/about/people/all-faculty/katcun,"Using methods from human-computer interaction in the context of computer science education, my research aligns computing learning opportunities with students' goals and identity, with a long-term aim of broadening pathways to computing education at the college level."
https://cs.illinois.edu/about/people/all-faculty/rcunnin2,Ryan Cunningham,Cybersecurity Laboratory,,"Research Interests: Law and Policy Issues, Digital Forensics and Incident Response, Computer Security, Machine Learning"
https://cs.illinois.edu/about/people/all-faculty/dalpiaz2,David M Dalpiaz,Data Science Lab,,David M Dalpiaz | Teaching Associate Professor | dalpiaz2@illinois.edu
https://cs.illinois.edu/about/people/all-faculty/dalpiaz2,David M Dalpiaz,Machine Learning Lab,,David M Dalpiaz | Teaching Associate Professor | dalpiaz2@illinois.edu
https://cs.illinois.edu/about/people/all-faculty/mrebl,"Gerald F DeJong, II",Machine Learning Lab,,"Research Interests: Machine Learning, Artificial Intelligence"
https://cs.illinois.edu/about/people/all-faculty/jdiesner,Jana Diesner,Data Science Lab,,"Jana Diesner
| Siebel School of Computing and Data Science | Illinois"
https://cs.illinois.edu/about/people/all-faculty/dig,Daniel Dig,Software Engineering Lab,,Research Areas: Programming Languages / Formal Methods / Software Engineering
https://cs.illinois.edu/about/people/all-faculty/minhdo,Minh N Do,Coordinated Science Laboratory,,"He is currently the Thomas and Margaret Huang Endowed Professor in Signal Processing & Data Science in the Department of Electrical and Computer Engineering, and holds affiliate appointments with the Coordinated Science Laboratory, the Beckman Institute for Advanced Science and Technology, the Department of Bioengineering, and the Department of Computer Science."
https://cs.illinois.edu/about/people/all-faculty/minhdo,Minh N Do,Beckman Institute for Advanced Science and Technology,,"He is currently the Thomas and Margaret Huang Endowed Professor in Signal Processing & Data Science in the Department of Electrical and Computer Engineering, and holds affiliate appointments with the Coordinated Science Laboratory, the Beckman Institute for Advanced Science and Technology, the Department of Bioengineering, and the Department of Computer Science."
https://cs.illinois.edu/about/people/all-faculty/minhdo,Minh N Do,Institute for Genomic Biology,,"He is currently the Thomas and Margaret Huang Endowed Professor in Signal Processing & Data Science in the Department of Electrical and Computer Engineering, and holds affiliate appointments with the Coordinated Science Laboratory, the Beckman Institute for Advanced Science and Technology, the Department of Bioengineering, and the Department of Computer Science."
https://cs.illinois.edu/about/people/all-faculty/minhdo,Minh N Do,VinUni-Illinois Smart Health Center,,"He is currently the Thomas and Margaret Huang Endowed Professor in Signal Processing & Data Science in the Department of Electrical and Computer Engineering, and holds affiliate appointments with the Coordinated Science Laboratory, the Beckman Institute for Advanced Science and Technology, the Department of Bioengineering, and the Department of Computer Science."
https://cs.illinois.edu/about/people/all-faculty/kpd,Kate Donahue,Siebel School of Computing and Data Science,,Kate Donahue | Siebel School of Computing and Data Science | Illinois
https://cs.illinois.edu/about/people/all-faculty/krdc,Katie Driggs-Campbell,Robotics and Autonomous Systems Lab,,New computational approach enhances multi-modal manipulation
https://cs.illinois.edu/about/people/all-faculty/melkebir,Mohammed El-Kebir,Cancer Genomics Lab,,"El-Kebir's main research is in combinatorial optimization algorithms for problems in computational biology, with a particular focus on cancer genomics."
https://cs.illinois.edu/about/people/all-faculty/melkebir,Mohammed El-Kebir,Computational Biology Lab,,"El-Kebir's main research is in combinatorial optimization algorithms for problems in computational biology, with a particular focus on cancer genomics."
https://cs.illinois.edu/about/people/all-faculty/engelken,Rainer Engelken,Coordinated Science Laboratory,https://cs.illinois.edu/,Website for Rainer Engelken with Information for PhD openings
https://cs.illinois.edu/about/people/all-faculty/engelken,Rainer Engelken,Department of Computer Science,https://csl.illinois.edu/,Website for Rainer Engelken with Information for PhD openings
https://cs.illinois.edu/about/people/all-faculty/jeffe,Jeff Erickson,Algorithms Lab,,"I have published over 100 technical papers in computational geometry, computational topology, graph algorithms, and related topics at the intersection of computer science and mathematics."
https://cs.illinois.edu/about/people/all-faculty/jeffe,Jeff Erickson,Computational Geometry Lab,,"I have published over 100 technical papers in computational geometry, computational topology, graph algorithms, and related topics at the intersection of computer science and mathematics."
https://cs.illinois.edu/about/people/all-faculty/jeffe,Jeff Erickson,Computer Science Education Lab,,"I have published over 100 technical papers in computational geometry, computational topology, graph algorithms, and related topics at the intersection of computer science and mathematics."
https://cs.illinois.edu/about/people/all-faculty/gcevans,Carl Evans,Computers and Education Lab,,Research Areas: Computers and Education
https://cs.illinois.edu/about/people/all-faculty/waf,Wade Fagen-Ulmschneider,Data Science Research Collaborative,https://d7.cs.illinois.edu,Wade Fagen-Ulmschneider is a Teaching Professor of Computer Science at the University of Illinois at Urbana-Champaign (UIUC).
https://cs.illinois.edu/about/people/all-faculty/waf,Wade Fagen-Ulmschneider,Center for Innovation in Teaching and Learning,https://citl.uillinois.edu,Wade Fagen-Ulmschneider is a Teaching Professor of Computer Science at the University of Illinois at Urbana-Champaign (UIUC).
https://cs.illinois.edu/about/people/all-faculty/waf,Wade Fagen-Ulmschneider,Discovery Partners Institute,https://dpi.uillinois.edu,Wade Fagen-Ulmschneider is a Teaching Professor of Computer Science at the University of Illinois at Urbana-Champaign (UIUC).
https://cs.illinois.edu/about/people/all-faculty/waf,Wade Fagen-Ulmschneider,Carle Illinois College of Medicine,https://medicine.uillinois.edu,Wade Fagen-Ulmschneider is a Teaching Professor of Computer Science at the University of Illinois at Urbana-Champaign (UIUC).
https://cs.illinois.edu/about/people/all-faculty/waf,Wade Fagen-Ulmschneider,School of Information Science,https://ischool.uillinois.edu,Wade Fagen-Ulmschneider is a Teaching Professor of Computer Science at the University of Illinois at Urbana-Champaign (UIUC).
https://cs.illinois.edu/about/people/all-faculty/farivar2,Reza Farivar,Cloud Computing Applications Lab,,Research Areas: Systems and Networking
https://cs.illinois.edu/about/people/all-faculty/fischerp,Paul Fischer,Scientific Computing Lab,,Fischer assists Argonne to conduct largest-ever simulation of flow inside internal combustion engine
https://cs.illinois.edu/about/people/all-faculty/mfleck,Margaret M Fleck,Speech and Language Processing Lab,,"My most recent research centers around understanding conversational speech, particularly unsupervised algorithms that learn word boundaries from transcribed speech."
https://cs.illinois.edu/about/people/all-faculty/mfleck,Margaret M Fleck,AI and Computational Linguistics Lab,,"My most recent research centers around understanding conversational speech, particularly unsupervised algorithms that learn word boundaries from transcribed speech."
https://cs.illinois.edu/about/people/all-faculty/miforbes,Michael A. Forbes,Algebraic and Geometric Complexity Theory,,Forbes Prepares Two Primary Research Aims Devoted to Algebraic and Geometric Complexity Theory with NSF CAREER Award Funding
https://cs.illinois.edu/about/people/all-faculty/daf,David Forsyth,Computer Vision Lab,,"Research Interests: Computer vision, Computer graphics, Machine learning"
https://cs.illinois.edu/about/people/all-faculty/daf,David Forsyth,Vision Science Research Group,,"Research Interests: Computer vision, Computer graphics, Machine learning"
https://cs.illinois.edu/about/people/all-faculty/mfowler5,Max Fowler,Siebel School of Computing and Data Science,https://cs.illinois.edu,Research Areas: Computers and Education
https://cs.illinois.edu/about/people/all-faculty/ekfox,Emily Kyle Fox,Algorithm Research Lab,,"Research Interests: Algorithms, Computational geometry and topology, Graph algorithms"
https://cs.illinois.edu/about/people/all-faculty/ekfox,Emily Kyle Fox,Computational Geometry Lab,,"Research Interests: Algorithms, Computational geometry and topology, Graph algorithms"
https://cs.illinois.edu/about/people/all-faculty/friedman,H. George Friedman,Siebel School of Computing and Data Science,https://cs.illinois.edu/about/people/all-faculty/friedman,H. George Friedman Jr.'s home page
https://cs.illinois.edu/about/people/all-faculty/aganesn2,Aishwarya Ganesan,VMware Research Group,https://www.vmware.com/company/technology-research.html,"Aishwarya Ganesan; Assistant Professor; Research Interests: Data systems, Distributed systems, Storage and file systems, Operating systems."
https://cs.illinois.edu/about/people/all-faculty/aganesn2,Aishwarya Ganesan,"Mobility, Networks, and Systems Group, Microsoft Research",https://www.microsoft.com/en-us/research/group/mobility-networks-and-systems/,"Aishwarya Ganesan; Assistant Professor; Research Interests: Data systems, Distributed systems, Storage and file systems, Operating systems."
https://cs.illinois.edu/about/people/all-faculty/jugal,Jugal Garg,Algorithms and Randomness Center,https://www.arc.gatech.edu/,"Research Interests: Computational Aspects of Economics and Game Theory, Design and Analysis of Algorithms, Mathematical Programming, Resource Allocation, Data Economics."
https://cs.illinois.edu/about/people/all-faculty/jugal,Jugal Garg,Game Theory and Fair Division Research Group,,"Research Interests: Computational Aspects of Economics and Game Theory, Design and Analysis of Algorithms, Mathematical Programming, Resource Allocation, Data Economics."
https://cs.illinois.edu/about/people/all-faculty/garzaran,Maria Jesus Garzaran,Siebel School of Computing and Data Science,,Adjunct Research Associate Professor
https://cs.illinois.edu/about/people/all-faculty/garzaran,Maria Jesus Garzaran,Grainger College of Engineering,,Adjunct Research Associate Professor
https://cs.illinois.edu/about/people/all-faculty/ygertner,Yael Gertner,Teaching and Education Lab,,Yael Gertner's webpage
https://cs.illinois.edu/about/people/all-faculty/ghose,Saugata Ghose,Computer Science,https://cs.illinois.edu/about/people/all-faculty/ghose,"Research Interests: Data-centric computer architectures and systems, Processing-in-memory (PIM), Memory and storage systems, Computing platforms for smart cities, autonomous vehicles, robotics, and genomics"
https://cs.illinois.edu/about/people/all-faculty/ghose,Saugata Ghose,Coordinated Science Laboratory,,"Research Interests: Data-centric computer architectures and systems, Processing-in-memory (PIM), Memory and storage systems, Computing platforms for smart cities, autonomous vehicles, robotics, and genomics"
https://cs.illinois.edu/about/people/all-faculty/ghose,Saugata Ghose,Electrical and Computer Engineering,,"Research Interests: Data-centric computer architectures and systems, Processing-in-memory (PIM), Memory and storage systems, Computing platforms for smart cities, autonomous vehicles, robotics, and genomics"
https://cs.illinois.edu/about/people/all-faculty/pbg,Brighten Godfrey,Department of Computer Science,,His research interests lie in the design of networked systems and algorithms.
https://cs.illinois.edu/about/people/all-faculty/pbg,Brighten Godfrey,Coordinated Science Laboratory,,His research interests lie in the design of networked systems and algorithms.
https://cs.illinois.edu/about/people/all-faculty/pbg,Brighten Godfrey,Computational Science and Engineering,,His research interests lie in the design of networked systems and algorithms.
https://cs.illinois.edu/about/people/all-faculty/pbg,Brighten Godfrey,Department of Electrical and Computer Engineering,,His research interests lie in the design of networked systems and algorithms.
https://cs.illinois.edu/about/people/all-faculty/mgolpar,Mani Golparvar-Fard,Real-time and Automated Monitoring and Control (RAAMAC) lab,Link to Golparvar-Fard's research group's website,"Dr. Mani Golparvar is Professor of Civil Engineering, Computer Science, & Technology Entrepreneurship, Faculty Entrepreneurial Fellow, Excellence Faculty Fellow, and the director of the Real-time and Automated Monitoring and Control (RAAMAC) lab at the University of Illinois at Urbana-Champaign (UIUC)."
https://cs.illinois.edu/about/people/all-faculty/cedre,Daniel Gonzalez Cedre,Siebel School of Computing and Data Science,http://cedre.tech,Teaching Assistant Professor
https://cs.illinois.edu/about/people/all-faculty/granha,Fernando Granha Jeronimo,Jeronimo Lab,https://cs.illinois.edu/about/people/all-faculty/granha,"Research Interests: Complexity Theory and Pseudorandomness, Quantum Computing and Complexity, Coding Theory, Expander Graphs and High Dimensional Expanders, Optimization: Linear Programming and Sum-of-Squares SDP Hierarchy."
https://cs.illinois.edu/about/people/all-faculty/wgropp,Bill Gropp,National Center for Supercomputing Applications,https://www.ncsa.illinois.edu/,"William Gropp's home page... His research interests are in parallel computing, software for scientific computing, and numerical methods for partial differential equations."
https://cs.illinois.edu/about/people/all-faculty/grosser,Ben Grosser,NCSA,https://www.ncsa.illinois.edu/,"Professor, School of Art & Design"
https://cs.illinois.edu/about/people/all-faculty/kaiyug,Kaiyu Guan,Agroecosystem Sustainability Center,,"My research group uses advanced process models, satellite sensing technology, fieldwork, and artificial intelligence to address how climate and human practices affect crop productivity, water resources, ecosystem functioning, and environmental sustainability."
https://cs.illinois.edu/about/people/all-faculty/kaiyug,Kaiyu Guan,National Center for Supercomputing Applications,,"My research group uses advanced process models, satellite sensing technology, fieldwork, and artificial intelligence to address how climate and human practices affect crop productivity, water resources, ecosystem functioning, and environmental sustainability."
https://cs.illinois.edu/about/people/all-faculty/cgunter,Carl Gunter,Cybersecurity and Privacy Lab,,Carl Gunter's home page
https://cs.illinois.edu/about/people/all-faculty/egunter,Elsa Gunter,Siebel School of Computing and Data Science,https://cs.illinois.edu,Elsa L. Gunter's home page
https://cs.illinois.edu/about/people/all-faculty/egunter,Elsa Gunter,Grainger College of Engineering,https://grainger.illinois.edu,Elsa L. Gunter's home page
https://cs.illinois.edu/about/people/all-faculty/yueg,Yue Guo,Information Sciences Lab,,"Assistant Professor, Information Sciences"
https://cs.illinois.edu/about/people/all-faculty/indy,Indranil Gupta,Distributed Protocols Research Group (DPRG),http://dprg.cs.uiuc.edu/,Prof. Indranil Gupta (Indy) is a Professor of Computer Science at the University of Illinois at Urbana-Champaign. Indy leads the Distributed Protocols Research Group in the CS Department at UIUC.
https://cs.illinois.edu/about/people/all-faculty/saurabhg,Saurabh Gupta,Learning-Based Robotics Lab,,Gupta earns NSF CAREER award to improve robot navigation and object interaction
https://cs.illinois.edu/about/people/all-faculty/dilek,Dilek Hakkani-Tur,Conversational AI Lab,,"Her research interests include conversational AI, natural language and speech processing, spoken dialogue systems, and machine learning for language processing."
https://cs.illinois.edu/about/people/all-faculty/dilek,Dilek Hakkani-Tur,NLP Research Group,,"Her research interests include conversational AI, natural language and speech processing, spoken dialogue systems, and machine learning for language processing."
https://cs.illinois.edu/about/people/all-faculty/hanj,Jiawei Han,Data Mining Lab,,"Research Areas: Artificial Intelligence, Bioinformatics and Computational Biology, Data and Information Systems"
https://cs.illinois.edu/about/people/all-faculty/hanj,Jiawei Han,Artificial Intelligence Lab,,"Research Areas: Artificial Intelligence, Bioinformatics and Computational Biology, Data and Information Systems"
https://cs.illinois.edu/about/people/all-faculty/harandi,Mehdi T Harandi,Artificial Intelligence Lab,,Associate Professor Emeritus
https://cs.illinois.edu/about/people/all-faculty/harandi,Mehdi T Harandi,Data Science Group,,Associate Professor Emeritus
https://cs.illinois.edu/about/people/all-faculty/sariel,Sariel Har-Peled,Geometric Algorithms Lab,,Research Areas: Theory and Algorithms
https://cs.illinois.edu/about/people/all-faculty/jch,John C Hart,Computer Graphics Lab,,"His research on computer graphics and data visualization has been supported by Adobe, AT&T, DARPA, IBM, Intel, Microsoft, Nokia, NVIDIA and the NSF."
https://cs.illinois.edu/about/people/all-faculty/jch,John C Hart,Data Visualization Lab,,"His research on computer graphics and data visualization has been supported by Adobe, AT&T, DARPA, IBM, Intel, Microsoft, Nokia, NVIDIA and the NSF."
https://cs.illinois.edu/about/people/all-faculty/jhasegaw,Mark Hasegawa-Johnson,Statistical Speech Technology Group,,"Dr. Hasegawa-Johnson's research is focused on the area of automatic speech recognition, with a particular focus on the mathematization of linguistic concepts."
https://cs.illinois.edu/about/people/all-faculty/kkhauser,Kris Hauser,Intelligent Motion Lab,https://imotionlab.cs.illinois.edu/,"His research interests lie in robot planning and control, a field devoted to providing the decision-making capabilities needed for robots and other intelligent agents to perform complex physical tasks."
https://cs.illinois.edu/about/people/all-faculty/jingrui,Jingrui He,Data and Information Systems Lab,,"Jingrui He is a Professor, School of Information Sciences"
https://cs.illinois.edu/about/people/all-faculty/yichunhe,Yichun He,Siebel School of Computing and Data Science,,Yichun He | Siebel School of Computing and Data Science | Illinois
https://cs.illinois.edu/about/people/all-faculty/daheath,David Heath,Secure Computation Lab,,"David Heath. Efficient arithmetic in garbled circuits. In Marc Joye and Gregor Leander, editors, EUROCRYPT 2024, Part V, volume 14655 of LNCS, pages 3-31. Springer, Cham, May 2024. (Acceptance Rate: 21.8%)"
